user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S4C982	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_902826635.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__CADEFQ01 sp902826635	82.55	0.56	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_902826575.1, s__CADEFQ01 sp902826575, 95.0, 81.16, 0.49	78.7	11	0.9666285495646478	N/A
S4C986	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_014202975.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter;s__Povalibacter uvarum	77.8	0.29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	68.57	11	0.9524134656709274	N/A
S4C987	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CG1-02-43-26;g__JABDAI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CG1-02-43-26;g__;s__	taxonomic novelty determined using RED	N/A	N/A	82.79	11	0.8916350577210369	N/A
S4C989	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	GCF_001632805.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	95.3	0.89	GCF_001632805.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium chelonae	95.3	0.89	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002356335.1, s__Mycobacterium stephanolepidis, 95.0, 93.73, 0.88; GCF_002013375.1, s__Mycobacterium sp002013375, 95.0, 87.52, 0.86; GCF_002013465.1, s__Mycobacterium sp002013465, 95.0, 87.47, 0.89; GCF_004924335.1, s__Mycobacterium salmoniphilum, 95.0, 87.41, 0.88; GCF_002013415.1, s__Mycobacterium sp002013415, 95.0, 87.34, 0.8; GCF_001456355.1, s__Mycobacterium saopaulense, 95.0, 85.56, 0.86; GCF_014204435.1, s__Mycobacterium chelonae_A, 95.0, 85.25, 0.83; GCF_002013895.1, s__Mycobacterium franklinii, 95.0, 85.01, 0.75; GCF_013449725.1, s__Mycobacterium sp013449725, 95.0, 84.41, 0.79; GCF_001605725.1, s__Mycobacterium immunogenum, 95.0, 84.41, 0.75; GCF_000069185.1, s__Mycobacterium abscessus, 95.0, 84.05, 0.75; GCF_009729205.1, s__Mycobacterium sp009729205, 95.0, 83.51, 0.76; GCF_010731695.1, s__Mycobacterium litorale, 95.0, 79.0, 0.26; GCF_001570425.1, s__Mycobacterium brisbanense, 95.0, 78.97, 0.28; GCF_000613185.1, s__Mycobacterium cosmeticum, 95.0, 78.85, 0.29; GCF_001500125.1, s__Mycobacterium sp001500125, 95.0, 78.71, 0.25; GCA_000762985.1, s__Mycobacterium rufum, 95.0, 78.68, 0.26; GCF_002101965.1, s__Mycobacterium wolinskyi, 95.0, 78.57, 0.27; GCF_000612725.1, s__Mycobacterium austroafricanum, 95.0, 78.53, 0.27; GCF_001044235.1, s__Mycobacterium chlorophenolicum, 95.8643, 78.44, 0.27; GCF_000266905.1, s__Mycobacterium chubuense_A, 95.0, 78.43, 0.25; GCF_900637205.1, s__Mycobacterium chitae, 95.0, 78.38, 0.26; GCF_001953975.1, s__Mycobacterium sp001953975, 95.0, 78.32, 0.26; GCF_002086115.1, s__Mycobacterium bacteremicum, 95.0, 78.32, 0.27; GCF_000295855.1, s__Mycobacterium fortuitum, 95.0, 78.31, 0.26; GCF_002157835.1, s__Mycobacterium dioxanotrophicus, 95.0, 78.27, 0.27; GCF_014218295.1, s__Mycobacterium litorale_B, 95.0, 78.23, 0.24; GCF_000230895.2, s__Mycobacterium rhodesiae_A, 95.0, 78.23, 0.23; GCF_010731575.1, s__Mycobacterium monacense, 95.0, 78.22, 0.25; GCF_001886515.1, s__Mycobacterium sp001886515, 95.0, 78.21, 0.24; GCF_011758805.1, s__Mycobacterium fluoranthenivorans, 95.0, 78.2, 0.26; GCF_900078665.2, s__Mycobacterium houstonense, 95.0, 78.19, 0.28; GCF_002887815.1, s__Mycobacterium sp002887815, 95.0, 78.19, 0.24; GCF_001984215.1, s__Mycobacterium sp001984215, 95.0, 78.18, 0.23; GCF_010725885.1, s__Mycobacterium tokaiense, 95.0, 78.17, 0.24; GCF_002086485.1, s__Mycobacterium aquaticum, 95.0, 78.16, 0.27; GCF_001494595.1, s__Mycobacterium sp001494595, 95.0, 78.16, 0.26; GCF_002101555.1, s__Mycobacterium canariasense, 95.0, 78.15, 0.27; GCF_010727475.1, s__Mycobacterium mageritense, 95.0, 78.15, 0.29; GCF_004570325.1, s__Mycobacterium sp004570325, 95.0, 78.14, 0.25; GCF_001665685.1, s__Mycobacterium sp001665685, 95.0, 78.14, 0.26; GCF_004362315.1, s__Mycobacterium sp004362315, 95.0, 78.13, 0.25; GCF_002723835.1, s__Mycobacterium sp002723835, 95.0, 78.11, 0.24; GCF_001187505.1, s__Mycobacterium goodii_B, 95.0, 78.11, 0.28; GCF_900108565.1, s__Mycobacterium rutilum, 95.0, 78.11, 0.26; GCF_001499995.1, s__Mycobacterium sp001499995, 95.0, 78.1, 0.24; GCF_001954135.1, s__Mycobacterium sp001954135, 95.0, 78.09, 0.27; GCF_010731855.1, s__Mycobacterium anyangense, 95.0, 78.09, 0.26; GCF_010731815.1, s__Mycobacterium arabiense, 95.0, 78.09, 0.24; GCF_001499965.1, s__Mycobacterium sp001499965, 95.0, 78.09, 0.25; GCF_000373905.1, s__Mycobacterium sp000373905, 95.0, 78.09, 0.25; GCF_001021385.1, s__Mycobacterium sp001021385, 95.0, 78.06, 0.23; GCF_900240945.1, s__Mycobacterium sp900240945, 95.0, 78.05, 0.24; GCF_000382405.1, s__Mycobacterium sp000382405, 95.0, 78.03, 0.24; GCF_002086695.1, s__Mycobacterium rhodesiae, 95.0, 78.03, 0.24; GCF_001044255.1, s__Mycobacterium chubuense, 95.8643, 78.03, 0.26; GCF_001457595.1, s__Mycobacterium smegmatis, 95.0, 78.02, 0.28; GCF_010729895.1, s__Mycobacterium confluentis, 95.0, 78.02, 0.25; GCF_000230935.1, s__Mycobacterium rhodesiae_B, 95.0, 78.01, 0.24; GCF_001665575.1, s__Mycobacterium sp001665575, 95.0, 78.01, 0.22; GCF_008329905.1, s__Mycobacterium sp008329905, 95.0, 78.01, 0.24; GCF_008329645.1, s__Mycobacterium grossiae, 95.0, 78.0, 0.26; GCF_011694515.1, s__Mycobacterium sp011694515, 95.0, 77.99, 0.25; GCF_008329605.1, s__Mycobacterium sp008329605, 95.0, 77.96, 0.24; GCF_007096635.1, s__Mycobacterium sp007096635, 95.0, 77.96, 0.23; GCF_002798385.1, s__Mycobacterium goodii_A, 95.0, 77.95, 0.24; GCF_001667265.1, s__Mycobacterium sp001667265, 95.0, 77.95, 0.24; GCF_002838065.1, s__Mycobacterium sp002838065, 95.0, 77.94, 0.24; GCF_002101595.1, s__Mycobacterium celatum, 95.0, 77.93, 0.24; GCF_010726645.1, s__Mycobacterium duvalii, 95.0, 77.9, 0.23; GCF_002592005.1, s__Mycobacterium palauense, 95.0, 77.89, 0.25; GCF_001665535.1, s__Mycobacterium sp001665535, 95.0, 77.88, 0.23; GCF_001044245.1, s__Mycobacterium obuense, 95.0, 77.87, 0.25; GCA_903862565.1, s__Mycobacterium sp903862565, 95.0, 77.86, 0.21; GCF_004354905.1, s__Mycobacterium eburneum, 95.0, 77.85, 0.26; GCF_013404075.1, s__Mycobacterium sp013404075, 95.0, 77.85, 0.25; GCF_001500065.1, s__Mycobacterium sp001500065, 95.0, 77.84, 0.23; GCA_002007745.1, s__Mycobacterium litorale_A, 95.0, 77.84, 0.25; GCA_903884065.1, s__Mycobacterium sp903884065, 95.0, 77.84, 0.25; GCF_001500025.1, s__Mycobacterium sp001500025, 95.0, 77.83, 0.22; GCF_001672895.1, s__Mycobacterium sp001672895, 95.0, 77.79, 0.26; GCF_000559085.1, s__Mycobacterium aromaticivorans, 95.0, 77.79, 0.24; GCF_010731895.1, s__Mycobacterium helvum, 95.0, 77.79, 0.24; GCF_001667505.1, s__Mycobacterium sp001667505, 95.0, 77.78, 0.24; GCF_010731795.1, s__Mycobacterium celeriflavum, 95.0, 77.78, 0.23; GCF_002553505.1, s__Mycobacterium agri, 95.0, 77.76, 0.22; GCF_000620625.1, s__Mycobacterium sp000620625, 95.0, 77.75, 0.25; GCF_010725725.1, s__Mycobacterium pulveris, 95.0, 77.75, 0.22; GCF_000328565.1, s__Mycobacterium sp000328565, 95.0, 77.74, 0.23; GCF_001499855.1, s__Mycobacterium sp001499855, 95.0, 77.74, 0.23; GCF_002101735.1, s__Mycobacterium kyorinense, 95.0, 77.73, 0.23; GCF_010726085.1, s__Mycobacterium moriokaense, 95.0, 77.73, 0.22; GCF_004745805.1, s__Mycobacterium sp004745805, 95.0, 77.73, 0.24; GCF_010726245.1, s__Mycobacterium aichiense, 95.0, 77.7, 0.25; GCF_003201655.1, s__Mycobacterium moriokaense_A, 95.0, 77.7, 0.22; GCF_010728725.1, s__Mycobacterium branderi, 95.0, 77.62, 0.25; GCF_003284965.1, s__Mycobacterium sp003284965, 95.0, 77.62, 0.23; GCF_001672775.1, s__Mycobacterium kyorinense_A, 95.0, 77.59, 0.21; GCF_002102185.1, s__Mycobacterium fragae, 95.0, 77.47, 0.21	96.25	11	N/A	N/A
S5C1024	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__FEB-7;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__;s__	taxonomic novelty determined using RED	N/A	N/A	40.28	11	0.935382586937849	N/A
S5C1028	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;s__	N/A	N/A	N/A	N/A	N/A	GCF_900289045.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;s__Micropruina glycogenica	82.2	0.46	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Micropruina;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013693855.1, s__Micropruina sp013693855, 95.0, 78.75, 0.34	28.01	11	0.9628804400771439	Genome has more than 60.8% of markers with multiple hits
S5C1036	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_902826635.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__CADEFQ01 sp902826635	82.74	0.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_902826575.1, s__CADEFQ01 sp902826575, 95.0, 80.65, 0.55	84.89	11	0.968530786659399	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S5C1037	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__	ANI	N/A	GCA_002345965.1, s__ELB16-189 sp002345965, 95.0, 77.14, 0.22; GCA_002344795.1, s__ELB16-189 sp002344795, 95.0, 77.12, 0.14	59.98	11	0.9508527854639579	N/A
S5C1047	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia_A;s__	ANI	N/A	GCA_001899085.1, s__Devosia_A sp001899085, 95.0, 80.75, 0.62; GCF_001425235.1, s__Devosia_A sp001425235, 95.0, 80.6, 0.61; GCF_001402915.1, s__Devosia_A sp001402915, 95.0, 80.51, 0.59; GCF_000970465.2, s__Devosia_A insulae, 95.0, 80.45, 0.57; GCA_001899075.1, s__Devosia_A sp001899075, 95.0, 79.91, 0.53; GCA_903842455.1, s__Devosia_A sp903842455, 95.0, 79.86, 0.5; GCA_004144345.1, s__Devosia_A sp004144345, 95.0, 79.83, 0.47; GCF_900119845.1, s__Devosia_A enhydra, 95.0, 79.27, 0.43; GCA_001899065.1, s__Devosia_A sp001899065, 95.0, 79.24, 0.44; GCA_903828145.1, s__Devosia_A sp903828145, 95.0, 78.52, 0.33	71.95	11	0.9585616066466773	N/A
S5C10504	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JABFRJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	25.37	11	0.947501561180783	N/A
S5C1067	d__Bacteria;p__Planctomycetota;c__GCA-002687715;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	11.91	11	0.4776616849705906	N/A
S5C1076	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013822005.1, s__Novosphingobium sp013822005, 95.0, 81.21, 0.7; GCA_002440635.1, s__Novosphingobium sp002440635, 95.0, 80.96, 0.78; GCA_013141325.1, s__Novosphingobium sp013141325, 95.0, 80.9, 0.63; GCF_002813245.1, s__Novosphingobium kunmingense, 95.0, 80.45, 0.7; GCF_002198665.1, s__Novosphingobium sp002198665, 95.0, 80.43, 0.7; GCA_002454125.1, s__Novosphingobium sp002454125, 95.0, 80.19, 0.69; GCA_014652615.1, s__Novosphingobium arvoryzae, 95.0, 80.13, 0.74; GCF_007954425.1, s__Novosphingobium ginsenosidimutans, 95.0, 80.06, 0.72; GCA_009926135.1, s__Novosphingobium sp009926135, 95.0, 79.85, 0.67; GCF_014230305.1, s__Novosphingobium flavum_A, 95.0, 79.63, 0.57; GCA_009885425.1, s__Novosphingobium sp009885425, 95.0, 79.4, 0.48; GCF_014230315.1, s__Novosphingobium flavum, 95.0, 79.36, 0.55; GCA_001725355.1, s__Novosphingobium sp001725355, 95.0, 79.3, 0.54; GCF_002855555.1, s__Novosphingobium sp002855555, 95.0, 79.29, 0.56; GCF_014230355.1, s__Novosphingobium piscinae, 95.0, 79.21, 0.6; GCA_004211435.1, s__Novosphingobium sp004211435, 95.0, 79.1, 0.49; GCF_005145025.1, s__Novosphingobium sp005145025, 95.0, 79.1, 0.58; GCF_001014975.1, s__Novosphingobium sp002336885, 95.0, 78.96, 0.59; GCF_001590985.1, s__Novosphingobium naphthalenivorans, 95.0, 78.89, 0.52; GCA_014652855.1, s__Novosphingobium pokkalii, 95.0, 78.82, 0.5; GCF_001598375.1, s__Novosphingobium capsulatum, 95.0, 78.81, 0.52; GCA_013791705.1, s__Novosphingobium sp013791705, 95.0, 78.8, 0.42; GCF_900117425.1, s__Novosphingobium sp900117425, 95.0, 78.79, 0.5; GCF_001590965.1, s__Novosphingobium lentum, 95.0, 78.72, 0.6; GCA_014652555.1, s__Novosphingobium colocasiae, 95.0, 78.71, 0.52; GCF_009707465.1, s__Novosphingobium sp009707465, 95.0, 78.67, 0.53; GCF_003171715.1, s__Novosphingobium sp003171715, 95.0, 78.67, 0.43; GCF_014200275.1, s__Novosphingobium sp014200275, 95.0, 78.64, 0.5; GCF_001298105.1, s__Novosphingobium sp001298105, 95.0, 78.63, 0.42; GCF_007993975.1, s__Novosphingobium barchaimii_B, 95.0, 78.59, 0.42; GCF_001519075.1, s__Novosphingobium fuchskuhlense, 95.0, 78.57, 0.46; GCF_900113255.1, s__Novosphingobium sp900113255, 95.0, 78.52, 0.56; GCF_900168325.1, s__Novosphingobium mathurense, 95.0, 78.42, 0.43; GCF_003208305.1, s__Novosphingobium sp003208305, 95.0, 78.41, 0.42; GCF_004364785.1, s__Novosphingobium sp004364785, 95.0, 78.4, 0.52; GCF_000253255.1, s__Novosphingobium sp000253255, 95.0, 78.36, 0.42; GCF_000767465.1, s__Novosphingobium pentaromativorans, 95.0, 78.36, 0.45; GCF_002556635.1, s__Novosphingobium sp002556635, 95.0, 78.36, 0.53; GCF_012927405.1, s__Novosphingobium sp012927405, 95.0, 78.35, 0.56; GCF_001598555.1, s__Novosphingobium rosa, 95.0, 78.33, 0.45; GCF_006874585.1, s__Novosphingobium sp006874585, 95.0, 78.31, 0.53; GCA_014640675.1, s__Novosphingobium endophyticum, 95.0, 78.3, 0.44; GCF_000802225.1, s__Novosphingobium malaysiense, 95.0, 78.29, 0.5; GCA_014645195.1, s__Novosphingobium indicum, 95.0, 78.24, 0.47; GCF_002149965.1, s__Novosphingobium panipatense, 95.0, 78.21, 0.5; GCF_900176395.1, s__Novosphingobium sp900176395, 95.0, 78.21, 0.45; GCF_002896965.1, s__Novosphingobium guangzhouense, 95.0, 78.2, 0.44; GCF_014204535.1, s__Novosphingobium chloroacetimidivorans, 95.0, 78.18, 0.45; GCF_000876675.2, s__Novosphingobium sp000876675, 95.0, 78.18, 0.45; GCF_000013325.1, s__Novosphingobium aromaticivorans, 95.0, 78.17, 0.47; GCF_003454795.1, s__Novosphingobium sp003454795, 95.0, 78.15, 0.51; GCF_000807925.1, s__Novosphingobium subterraneum, 95.0, 78.15, 0.44; GCF_004341845.1, s__Novosphingobium sp004341845, 95.0, 78.14, 0.47; GCF_007991615.1, s__Novosphingobium sediminis, 95.0, 78.1, 0.48; GCA_903832325.1, s__Novosphingobium sp903832325, 95.0, 78.09, 0.47; GCF_902506425.1, s__Novosphingobium sp902506425, 95.0, 78.09, 0.43; GCF_000281975.1, s__Novosphingobium sp000281975, 95.0, 78.05, 0.45; GCF_000429005.1, s__Novosphingobium acidiphilum, 95.0, 78.04, 0.39; GCF_000445125.1, s__Novosphingobium lindaniclasticum, 95.0, 78.04, 0.41; GCF_902706195.1, s__Novosphingobium sp902706195, 95.0, 78.04, 0.46; GCF_007830315.1, s__Novosphingobium taihuense, 95.0, 78.03, 0.42; GCF_001742225.1, s__Novosphingobium resinovorum, 95.0, 78.03, 0.5; GCF_009746585.1, s__Novosphingobium sp009746585, 95.0, 78.0, 0.45; GCA_903923465.1, s__Novosphingobium sp903923465, 95.0, 77.99, 0.4; GCA_002256985.1, s__Novosphingobium sp002256985, 95.0, 77.98, 0.43; GCF_001046635.1, s__Novosphingobium barchaimii, 95.0, 77.97, 0.44; GCF_001519055.1, s__Novosphingobium sp001519055, 95.0, 77.94, 0.45; GCF_004342985.1, s__Novosphingobium sp004342985, 95.0, 77.92, 0.48; GCF_013408095.1, s__Novosphingobium marinum, 95.0, 77.9, 0.42; GCA_903970225.1, s__Novosphingobium sp903970225, 95.0, 77.9, 0.33; GCF_001519065.1, s__Novosphingobium sp001519065, 95.0, 77.86, 0.52; GCF_014196615.1, s__Novosphingobium fluoreni, 95.0, 77.85, 0.35; GCF_012641335.1, s__Novosphingobium sp012641335, 95.0, 77.81, 0.43; GCF_000813185.1, s__Novosphingobium sp000813185, 95.0, 77.81, 0.47; GCA_903834285.1, s__Novosphingobium sp903834285, 95.0, 77.81, 0.41; GCF_013149295.1, s__Novosphingobium sp013149295, 95.0, 77.8, 0.39; GCF_009909235.1, s__Novosphingobium sp009909235, 95.0, 77.79, 0.4; GCF_014196055.1, s__Novosphingobium hassiacum, 95.0, 77.76, 0.45; GCF_000272475.1, s__Novosphingobium sp000272475, 95.0, 77.75, 0.38; GCA_002256775.1, s__Novosphingobium sp002256775, 95.0, 77.74, 0.38; GCF_009856825.1, s__Novosphingobium sp009856825, 95.0, 77.72, 0.41; GCF_012275515.1, s__Novosphingobium sp001898925, 95.0, 77.7, 0.42; GCA_903828025.1, s__Novosphingobium sp903828025, 95.0, 77.68, 0.4; GCF_003208375.1, s__Novosphingobium sp003208375, 95.0, 77.63, 0.41; GCF_002916655.1, s__Novosphingobium sp002916655, 95.0, 77.58, 0.32; GCF_008107685.1, s__Novosphingobium sp008107685, 95.0, 77.57, 0.41; GCF_001421325.1, s__Novosphingobium sp001421325, 95.0, 77.57, 0.39; GCF_004005905.1, s__Novosphingobium umbonatum, 95.0, 77.47, 0.31; GCF_014196525.1, s__Novosphingobium sediminicola, 95.0, 77.35, 0.44; GCF_001295795.1, s__Novosphingobium sp001295795, 95.0, 77.32, 0.35; GCA_002336765.1, s__Novosphingobium sp002336765, 95.0, 77.28, 0.28; GCF_000192575.1, s__Novosphingobium nitrogenifigens, 95.0, 77.23, 0.39; GCA_903911985.1, s__Novosphingobium sp903911985, 95.0, 77.21, 0.24; GCA_903848655.1, s__Novosphingobium sp903848655, 95.0, 77.1, 0.29; GCA_002280675.1, s__Novosphingobium sp002280675, 95.0, 77.09, 0.3; GCA_903893935.1, s__Novosphingobium sp903893935, 95.0, 77.0, 0.31; GCA_903858875.1, s__Novosphingobium sp903858875, 95.0, 76.9, 0.23	30.12	11	0.9596430249043532	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S5C1081	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	GCF_010093385.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	97.82	0.96	GCF_010093385.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A mexicana	97.82	0.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001427585.1, s__Pseudoxanthomonas_A sp001427585, 95.0, 87.57, 0.94; GCF_900104255.1, s__Pseudoxanthomonas_A sp900104255, 95.0, 87.49, 0.93; GCF_001427635.1, s__Pseudoxanthomonas_A sp001427635, 95.0, 87.21, 0.9; GCF_900116385.1, s__Pseudoxanthomonas_A sp900116385, 95.0, 87.19, 0.91; GCF_010093445.1, s__Pseudoxanthomonas_A japonensis, 95.0, 87.01, 0.88; GCA_002863005.1, s__Pseudoxanthomonas_A sp002863005, 95.0, 86.81, 0.88; GCF_006716465.1, s__Pseudoxanthomonas_A sp006716465, 95.0, 86.77, 0.93; GCF_001556105.1, s__Pseudoxanthomonas_A mexicana_A, 95.0, 86.04, 0.86; GCF_006542425.1, s__Pseudoxanthomonas_A sp006542425, 95.0, 82.48, 0.77; GCF_900215535.1, s__Pseudoxanthomonas_A wuyuanensis, 95.0, 82.11, 0.77; GCF_010211755.1, s__Pseudoxanthomonas_A sangjuensis, 95.0, 81.81, 0.64; GCF_900167565.1, s__Pseudoxanthomonas_A indica, 95.0, 81.49, 0.71; GCF_004284195.1, s__Pseudoxanthomonas_A sp004284195, 95.0, 81.34, 0.67; GCF_004284655.1, s__Pseudoxanthomonas_A spadix_A, 95.0, 81.27, 0.65; GCF_010211745.1, s__Pseudoxanthomonas_A kalamensis, 95.0, 81.18, 0.59; GCF_010093345.1, s__Pseudoxanthomonas_A yeongjuensis, 95.0, 81.12, 0.65; GCF_010093305.1, s__Pseudoxanthomonas_A sacheonensis, 95.0, 80.94, 0.69; GCF_004122095.1, s__Pseudoxanthomonas_A composti, 95.0, 80.92, 0.62; GCF_010119615.1, s__Pseudoxanthomonas_A gei, 95.0, 80.72, 0.64; GCF_900104085.1, s__Pseudoxanthomonas_A sp900104085, 95.0, 80.65, 0.66; GCA_004173415.1, s__Pseudoxanthomonas_A sp004173415, 95.0, 80.5, 0.51; GCF_900109775.1, s__Pseudoxanthomonas_A sp900109775, 95.0, 80.46, 0.64; GCF_003703395.1, s__Pseudoxanthomonas_A spadix, 95.0, 80.42, 0.58; GCF_001431405.1, s__Pseudoxanthomonas_A dokdonensis, 95.0, 80.22, 0.59	50.15	11	N/A	N/A
S5C1132	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Ga0077529;g__Lacipirellula;s__	N/A	N/A	N/A	N/A	N/A	GCA_003576855.1	95.0	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Ga0077529;g__Lacipirellula;s__Lacipirellula sp003576855	76.95	0.22	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Ga0077529;g__Lacipirellula;s__	taxonomic classification defined by topology and ANI	N/A	GCF_009177095.1, s__Lacipirellula parvula, 95.0, 76.87, 0.25; GCA_013822725.1, s__Lacipirellula sp013822725, 95.0, 76.85, 0.06; GCF_007746075.1, s__Lacipirellula sp007746075, 95.0, 76.64, 0.21	29.48	11	0.9385709134331799	N/A
